collection_name,app_scope,source_doc_count,target_doc_count,source_index_count,target_index_count,migration_mode,validation_query,status,evidence_path,notes
purchases,global,6817,6817,1,1,full_target_db_migration,"db.purchases.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pushNotifications,global,43159,43164,4,4,full_target_db_migration,"db.pushNotifications.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
remainingViews,global,215,215,1,1,full_target_db_migration,"db.remainingViews.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
roles,global,0,0,2,2,full_target_db_migration,"db.roles.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
selection,global,661,661,1,1,full_target_db_migration,"db.selection.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
sendHubCollection,global,84,84,1,1,full_target_db_migration,"db.sendHubCollection.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
sentNotifications,global,2695152,2695152,2,2,full_target_db_migration,"db.sentNotifications.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
service,global,100,100,1,1,full_target_db_migration,"db.service.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
shareToUnlock,global,584,584,2,2,full_target_db_migration,"db.shareToUnlock.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
stages,global,8,8,2,2,full_target_db_migration,"db.stages.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
stats,global,76458,76458,1,1,full_target_db_migration,"db.stats.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
subscriptions,global,4,4,1,1,full_target_db_migration,"db.subscriptions.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
termsOfServices,global,211,211,1,1,full_target_db_migration,"db.termsOfServices.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
textMessages,global,370,370,2,2,full_target_db_migration,"db.textMessages.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
tokenPackages,global,24,24,1,1,full_target_db_migration,"db.tokenPackages.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
ugcReports,global,83,83,1,1,full_target_db_migration,"db.ugcReports.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
ugcUserReports,global,24,24,1,1,full_target_db_migration,"db.ugcUserReports.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
unlocks,global,3384,3384,3,3,full_target_db_migration,"db.unlocks.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
userBadges,global,269,269,1,1,full_target_db_migration,"db.userBadges.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
userBalances,global,1244,1244,1,1,full_target_db_migration,"db.userBalances.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
UserData,global,3,3,1,1,full_target_db_migration,"db.UserData.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
userFavorites,global,8,8,1,1,full_target_db_migration,"db.userFavorites.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
userGeneratedContents,global,13751,13751,2,2,full_target_db_migration,"db.userGeneratedContents.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
userHistory,global,56268,56268,2,2,full_target_db_migration,"db.userHistory.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
userMetrics,global,983642,983644,10,10,full_target_db_migration,"db.userMetrics.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
userReactions,global,278415,278428,4,4,full_target_db_migration,"db.userReactions.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
users,global,45297,45301,25,25,full_target_db_migration,"db.users.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
userSubscriptions,global,11,11,1,1,full_target_db_migration,"db.userSubscriptions.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
video,global,17350,17350,3,3,full_target_db_migration,"db.video.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
VideoChatCallLog,global,1,1,1,1,full_target_db_migration,"db.VideoChatCallLog.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
videoStorage,global,46,46,1,1,full_target_db_migration,"db.videoStorage.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
VideoStream,global,10,10,1,1,full_target_db_migration,"db.VideoStream.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
videoYoutube,global,107,107,1,1,full_target_db_migration,"db.videoYoutube.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
view_userMetricsAllAggregated,global,96256,96256,10,10,full_target_db_migration,"db.view_userMetricsAllAggregated.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
view_userMetricsAllAggregated_meta,global,123,123,1,1,full_target_db_migration,"db.view_userMetricsAllAggregated_meta.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
views,global,50192,50192,2,2,full_target_db_migration,"db.views.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
websites,global,18,18,1,1,full_target_db_migration,"db.websites.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
